village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Amarpur Village,Tripura,2023-05-13,WS_14231,Pond,23.764597,89.085767,7.94,0.23,11.109,86.0,7.6,11.6,0.51,0.007,1.34,0.35,0.034,IoT Sensor,Agency_9,1,Safe,
Dibrugarh Rural,Assam,2023-08-15,WS_39448,Pond,24.456493,94.439774,5.3,28.865,863.469,4986.0,3.6,143.1,11.18,0.41,0.91,1.31,0.027,Water Testing Kit,Agency_6,0,High,
Thoubal Village,Manipur,2023-07-30,WS_67663,Piped Supply,23.287472,89.404303,5.3,22.918,2235.343,2227.0,1.4,103.7,24.6,0.37,1.14,1.5,0.043,IoT Sensor,Agency_7,0,High,
Agartala Rural,Tripura,2023-12-23,WS_56190,Pond,23.702414,92.15433,5.98,79.709,865.114,3550.0,3.6,70.0,10.8,0.76,1.37,0.44,0.046,IoT Sensor,Agency_7,0,High,
Tawang Rural,Arunachal Pradesh,2023-12-03,WS_71086,Well,23.85085,91.602838,8.05,1.432,54.304,8.0,7.7,7.7,2.42,0.029,0.58,1.49,0.019,Water Testing Kit,Agency_3,1,Safe,32.0
Gyalshing Rural,Sikkim,2023-12-13,WS_41458,Piped Supply,27.884313,91.202774,7.44,8.629,32.683,58.0,8.7,28.0,0.93,0.028,0.49,0.19,0.009,Lab Analysis,Agency_5,0,Safe,
Imphal Rural,Manipur,2023-06-07,WS_83526,Piped Supply,23.844568,95.132703,8.11,3.918,33.158,47.0,6.0,38.1,2.08,0.03,0.5,0.38,0.014,Water Testing Kit,Agency_4,1,Safe,
Serchhip Village,Mizoram,2023-08-17,WS_22224,Piped Supply,27.475248,91.603906,8.11,8.54,22.328,9.0,7.9,40.6,0.96,0.013,0.85,1.21,0.013,Water Testing Kit,Agency_6,0,Safe,
Belonia Rural,Tripura,2023-10-06,WS_95557,Well,28.066515,94.946193,7.33,2.455,63.148,28.0,7.4,21.6,2.77,0.031,0.7,0.38,0.026,IoT Sensor,Agency_3,1,Safe,25.0
Tezpur Village,Arunachal Pradesh,2023-10-06,WS_93233,Well,24.693844,93.44386,7.34,7.821,20.59,17.0,8.3,20.5,1.17,0.016,0.49,1.34,0.004,IoT Sensor,Agency_4,0,Safe,195.0
Belonia Rural,Tripura,2024-01-08,WS_58418,Well,26.142392,94.005864,7.71,6.287,54.928,100.0,7.5,9.9,1.72,0.012,0.88,0.28,0.025,IoT Sensor,Agency_3,0,Safe,181.0
Dibrugarh Rural,Assam,2023-08-21,WS_32704,Well,24.130235,92.048963,5.75,109.075,2735.802,3723.0,3.2,116.3,16.33,1.21,0.31,1.14,0.039,IoT Sensor,Agency_8,0,High,183.0
Kolasib Rural,Mizoram,2023-12-16,WS_61786,Pond,25.775231,92.917029,5.91,21.842,411.141,1030.0,3.1,148.2,17.43,0.88,0.76,0.19,0.017,Lab Analysis,Agency_3,0,High,
Tuensang Village,Nagaland,2023-11-18,WS_64706,Tube Well,23.741126,88.595993,5.74,18.057,2423.991,2720.0,1.9,140.9,10.68,0.3,1.5,1.01,0.006,IoT Sensor,Agency_8,0,High,108.0
Hnahthial Village,Mizoram,2024-02-03,WS_10254,Well,26.758098,88.909236,6.68,6.219,2.753,90.0,8.0,41.4,1.46,0.0,1.86,0.77,0.008,Lab Analysis,Agency_3,0,Safe,109.0
Resubelpara Rural,Meghalaya,2023-08-28,WS_27968,Well,23.18164,96.284242,7.38,2.993,7.324,91.0,5.3,1.7,2.17,0.035,0.32,0.11,0.024,IoT Sensor,Agency_7,1,Safe,133.0
Shillong Rural,Meghalaya,2024-02-10,WS_47143,Well,28.966169,93.784758,6.9,1.598,4.368,60.0,5.3,35.9,1.07,0.015,0.93,0.01,0.03,Water Testing Kit,Agency_8,1,Safe,26.0
Senapati Rural,Manipur,2023-08-03,WS_63507,Pond,24.315105,90.690062,6.12,30.416,1434.413,2005.0,3.3,162.3,20.52,0.22,1.81,0.01,0.04,Lab Analysis,Agency_6,0,High,
Tezpur Village,Arunachal Pradesh,2023-08-02,WS_22020,Piped Supply,23.941507,95.807325,5.78,22.649,2116.446,3292.0,2.5,71.7,10.14,1.41,1.47,1.24,0.002,Water Testing Kit,Agency_5,0,High,
Resubelpara Rural,Meghalaya,2023-10-30,WS_23959,Well,27.598966,92.288541,7.31,8.25,11.114,34.0,9.0,35.5,1.15,0.007,1.75,1.29,0.036,Water Testing Kit,Agency_6,0,Safe,102.0
Mokokchung Rural,Nagaland,2023-06-07,WS_16961,Piped Supply,26.2119,94.303605,7.24,2.644,49.856,45.0,6.9,0.5,0.81,0.044,1.83,0.65,0.022,Water Testing Kit,Agency_9,1,Safe,
Itanagar Rural,Arunachal Pradesh,2023-12-22,WS_81968,Well,27.490671,91.181931,5.3,23.883,2487.475,1103.0,1.4,168.2,19.25,0.21,0.7,0.9,0.004,Water Testing Kit,Agency_6,0,High,174.0
Zunheboto Village,Nagaland,2023-08-24,WS_37130,River,25.964342,93.508402,6.03,100.088,2761.628,3280.0,1.1,73.1,21.41,1.31,1.26,0.57,0.013,IoT Sensor,Agency_1,0,High,
Tura Village,Meghalaya,2023-05-19,WS_38103,Tube Well,24.800024,93.380011,6.79,0.634,52.722,8.0,8.3,19.7,1.31,0.026,0.01,0.42,0.002,IoT Sensor,Agency_2,1,Safe,197.0
Kohima Rural,Nagaland,2023-08-09,WS_32389,Well,28.416574,89.990916,6.5,8.566,45.109,70.0,8.0,22.3,0.9,0.039,0.61,0.32,0.048,Water Testing Kit,Agency_5,0,Safe,164.0
Jiribam Village,Manipur,2023-10-13,WS_95400,Well,23.716337,92.324748,8.17,2.506,66.776,23.0,6.8,32.5,2.32,0.016,0.44,0.97,0.002,IoT Sensor,Agency_1,1,Safe,121.0
Tuensang Village,Nagaland,2023-06-28,WS_82145,Well,26.441279,88.41009,6.75,1.092,12.625,99.0,8.2,24.4,0.7,0.026,1.69,0.78,0.002,Water Testing Kit,Agency_3,1,Safe,136.0
Tuensang Village,Nagaland,2023-04-12,WS_99897,Well,26.250542,94.881309,6.32,7.662,49.962,70.0,8.6,24.7,1.44,0.026,0.7,0.14,0.03,IoT Sensor,Agency_3,0,Safe,161.0
Silchar Village,Assam,2023-10-04,WS_42405,Well,24.131751,90.258473,6.47,5.413,24.451,86.0,8.0,0.8,0.5,0.024,1.27,0.17,0.009,Water Testing Kit,Agency_2,1,Safe,198.0
Belonia Rural,Tripura,2023-05-17,WS_77523,Tube Well,23.161644,96.48333,7.69,1.752,14.876,99.0,7.0,36.7,2.49,0.049,1.74,0.08,0.021,Lab Analysis,Agency_7,1,Safe,41.0
Resubelpara Rural,Meghalaya,2023-06-10,WS_47201,River,25.916444,91.406333,6.01,100.846,896.122,541.0,3.7,152.3,24.83,1.42,1.2,0.02,0.025,IoT Sensor,Agency_3,0,High,
Nagaon Rural,Assam,2023-11-17,WS_44302,Piped Supply,23.766898,89.204981,8.62,5.865,13.132,58.0,7.3,28.8,0.3,0.034,1.18,0.22,0.015,Water Testing Kit,Agency_8,0,Safe,
Dharmanagar Rural,Tripura,2023-10-31,WS_67560,Tube Well,25.96247,93.537502,7.74,1.649,46.558,65.0,5.4,35.2,0.1,0.049,1.49,0.12,0.005,Lab Analysis,Agency_2,1,Safe,183.0
Baghmara Rural,Meghalaya,2023-08-19,WS_20176,Pond,23.034464,93.87461,5.61,125.37,1293.457,1983.0,2.1,182.9,12.7,1.59,0.5,1.01,0.009,IoT Sensor,Agency_2,0,High,
Lunglei Village,Mizoram,2023-08-08,WS_86989,River,26.721543,94.044478,7.95,8.334,10.056,11.0,7.4,31.7,1.02,0.049,1.58,0.49,0.006,Lab Analysis,Agency_3,0,Safe,
Gyalshing Rural,Sikkim,2023-11-27,WS_34845,River,27.822282,91.234782,5.84,58.291,736.631,2381.0,3.6,197.5,11.25,1.95,0.42,0.41,0.042,Water Testing Kit,Agency_6,0,High,
Tezpur Village,Arunachal Pradesh,2023-10-12,WS_96969,Piped Supply,25.157837,92.006298,7.74,3.357,28.474,8.0,6.3,4.7,1.44,0.047,1.96,0.32,0.028,Lab Analysis,Agency_3,1,Safe,
Silchar Village,Assam,2024-02-14,WS_34440,River,25.170892,90.801965,6.21,54.441,2022.862,1415.0,2.4,156.2,9.9,0.53,1.47,0.4,0.038,Water Testing Kit,Agency_3,0,High,
Mokokchung Rural,Nagaland,2023-06-07,WS_52849,Well,26.426433,91.690196,7.19,8.88,21.595,29.0,8.8,24.9,1.84,0.045,0.33,0.18,0.036,IoT Sensor,Agency_9,0,Safe,19.0
Dimapur Village,Nagaland,2023-09-03,WS_29024,Piped Supply,27.728731,94.075241,6.47,109.044,341.09,4876.0,1.8,96.3,5.9,1.05,0.23,0.11,0.025,Lab Analysis,Agency_4,0,High,
Singtam Village,Sikkim,2023-09-25,WS_61497,River,24.747786,96.321917,5.69,95.991,1979.694,1527.0,1.8,147.4,8.05,1.95,1.15,0.51,0.023,Lab Analysis,Agency_8,0,High,
Rangpo Rural,Sikkim,2023-05-06,WS_56898,Piped Supply,24.463931,94.08228,6.32,5.299,66.215,16.0,5.7,21.2,2.61,0.028,1.71,1.17,0.036,Water Testing Kit,Agency_1,1,Safe,
Guwahati Rural,Assam,2024-01-22,WS_68535,Piped Supply,25.372273,93.189643,6.63,4.352,49.739,79.0,7.3,9.3,0.97,0.033,0.01,1.1,0.042,Water Testing Kit,Agency_9,1,Safe,
Barpeta Village,Assam,2023-04-23,WS_94738,Pond,27.224835,92.49065,6.33,29.523,1475.133,4798.0,2.5,69.9,10.83,1.29,1.92,0.88,0.033,IoT Sensor,Agency_5,0,High,
Gyalshing Rural,Sikkim,2023-07-01,WS_42259,Pond,28.036816,94.800672,8.08,4.322,27.757,80.0,8.0,19.0,2.99,0.003,1.37,0.32,0.035,IoT Sensor,Agency_2,1,Safe,
Phek Rural,Nagaland,2024-02-04,WS_33435,Well,25.341352,95.072629,8.31,0.602,31.133,6.0,6.0,42.9,0.31,0.003,0.01,1.01,0.019,IoT Sensor,Agency_9,1,Safe,142.0
Jorethang Rural,Sikkim,2023-12-04,WS_87212,Well,28.109473,92.390222,7.25,6.535,49.326,55.0,8.2,30.7,1.08,0.041,1.11,0.32,0.026,Water Testing Kit,Agency_1,0,Safe,127.0
Roing Village,Arunachal Pradesh,2023-08-19,WS_47069,River,25.337688,89.390075,7.7,9.05,62.788,89.0,6.5,42.8,2.77,0.021,0.7,1.23,0.042,Water Testing Kit,Agency_1,0,Safe,
Champhai Rural,Mizoram,2023-11-09,WS_13972,River,27.953636,94.290098,5.5,30.783,1171.927,1605.0,1.4,57.1,16.98,1.19,1.01,0.27,0.027,IoT Sensor,Agency_2,0,High,
Namchi Village,Sikkim,2023-12-28,WS_34317,Well,28.538891,89.577556,5.3,75.294,486.289,4427.0,3.4,172.6,12.04,0.21,1.73,0.98,0.034,IoT Sensor,Agency_7,0,High,63.0
Khowai Village,Tripura,2023-11-10,WS_59593,Well,28.637766,88.46907,8.16,0.826,51.395,50.0,5.8,19.3,1.52,0.029,1.66,0.51,0.043,IoT Sensor,Agency_3,1,Safe,153.0
Aizawl Rural,Mizoram,2023-08-28,WS_97071,Piped Supply,27.50515,91.033059,7.63,10.377,17.6,95.0,7.7,24.3,2.95,0.017,0.21,0.97,0.011,IoT Sensor,Agency_9,0,Safe,
Resubelpara Rural,Meghalaya,2023-07-07,WS_17334,River,27.477313,88.446313,6.35,55.599,1861.307,2363.0,3.6,125.1,10.56,1.47,1.66,0.72,0.007,Water Testing Kit,Agency_7,0,High,
Udaipur Village,Tripura,2023-12-12,WS_88631,Well,25.551688,92.700078,8.76,9.942,57.771,18.0,5.8,0.5,2.4,0.008,1.5,0.18,0.018,Lab Analysis,Agency_3,0,Safe,94.0
Pakyong Village,Sikkim,2023-12-13,WS_71589,Spring,26.12106,94.071131,6.25,35.565,199.775,962.0,2.3,74.4,14.08,0.55,0.8,0.25,0.036,IoT Sensor,Agency_2,0,High,
Dimapur Village,Nagaland,2023-10-15,WS_12420,Tube Well,24.43325,95.44818,6.97,3.559,44.495,10.0,7.8,12.1,0.45,0.003,0.79,0.71,0.031,Water Testing Kit,Agency_1,1,Safe,122.0
Baghmara Rural,Meghalaya,2023-09-20,WS_28878,Pond,24.090719,89.478533,6.3,120.445,2096.161,4861.0,2.5,137.2,22.69,1.1,1.52,1.04,0.024,IoT Sensor,Agency_1,0,High,
Tura Village,Meghalaya,2023-12-18,WS_91820,Pond,26.367577,93.510097,8.09,4.121,6.053,51.0,7.6,27.0,2.69,0.046,0.36,0.42,0.006,Water Testing Kit,Agency_1,1,Safe,
Tawang Rural,Arunachal Pradesh,2023-05-22,WS_16884,Well,24.215671,90.342354,6.93,6.664,3.935,25.0,5.6,13.1,0.99,0.025,0.91,0.18,0.002,Water Testing Kit,Agency_2,0,Safe,163.0
Jiribam Village,Manipur,2023-03-02,WS_78597,Tube Well,25.070661,94.774976,8.16,3.121,35.316,5.0,7.7,35.8,2.91,0.042,1.37,0.95,0.05,IoT Sensor,Agency_2,1,Safe,110.0
Kolasib Rural,Mizoram,2023-03-03,WS_72372,Pond,27.544119,95.26961,6.92,5.81,12.79,26.0,6.8,14.2,0.39,0.024,1.83,0.77,0.042,Water Testing Kit,Agency_6,0,Safe,
Kiphire Village,Nagaland,2023-04-01,WS_69257,River,25.848789,90.406617,6.4,99.962,2267.766,1596.0,2.4,127.8,14.79,0.14,1.27,0.21,0.05,Lab Analysis,Agency_9,0,High,
Teliamura Rural,Tripura,2023-05-09,WS_93651,River,27.303892,91.896112,5.3,102.178,2257.506,2519.0,2.1,145.6,16.15,1.37,0.42,1.07,0.002,IoT Sensor,Agency_5,0,High,
Barpeta Village,Assam,2023-04-06,WS_60531,Pond,28.468318,91.524153,8.15,5.305,56.025,97.0,8.3,34.0,0.18,0.035,0.51,0.74,0.045,IoT Sensor,Agency_3,1,Safe,
Barpeta Village,Assam,2024-02-12,WS_52995,Well,26.20865,94.658734,8.57,1.73,53.918,25.0,5.8,13.7,0.51,0.026,0.4,0.83,0.039,Lab Analysis,Agency_1,1,Safe,90.0
Thoubal Village,Manipur,2023-03-09,WS_20593,Tube Well,26.521673,94.104578,6.87,1.459,37.163,73.0,8.6,40.2,0.47,0.05,1.21,1.3,0.032,IoT Sensor,Agency_9,1,Safe,74.0
Tezpur Village,Arunachal Pradesh,2023-12-06,WS_48243,Tube Well,25.322217,91.073942,8.59,1.522,14.826,75.0,8.4,37.0,1.37,0.005,0.99,0.73,0.037,IoT Sensor,Agency_2,1,Safe,27.0
Lunglei Village,Mizoram,2023-12-13,WS_12734,River,27.945218,90.393762,7.24,0.91,55.157,92.0,6.5,20.6,2.85,0.037,0.73,0.84,0.049,Water Testing Kit,Agency_2,1,Safe,
Imphal Rural,Manipur,2023-06-20,WS_46377,River,24.020864,90.286365,8.06,7.014,8.712,4.0,8.6,21.1,2.91,0.027,1.81,0.32,0.012,Water Testing Kit,Agency_5,0,Safe,
Dibrugarh Rural,Assam,2023-08-30,WS_36996,Pond,28.232886,92.813496,5.3,74.284,794.955,1009.0,2.7,91.8,6.47,0.47,1.9,0.23,0.034,Water Testing Kit,Agency_9,0,High,
Guwahati Rural,Assam,2023-05-22,WS_83998,Piped Supply,25.354067,91.189332,7.23,3.198,49.771,31.0,5.1,16.4,0.83,0.045,0.0,0.24,0.017,Water Testing Kit,Agency_2,1,Safe,
Khowai Village,Tripura,2023-09-21,WS_18466,Spring,28.122149,88.255418,6.89,9.974,44.112,45.0,8.2,10.3,2.87,0.008,1.91,1.3,0.044,IoT Sensor,Agency_2,0,Safe,
Imphal Rural,Manipur,2023-07-16,WS_34539,Well,28.516282,93.11046,7.64,4.547,21.152,56.0,6.7,20.9,2.54,0.048,1.45,1.4,0.033,Lab Analysis,Agency_7,1,Safe,166.0
Pasighat Rural,Arunachal Pradesh,2023-11-17,WS_94428,Pond,27.697486,92.697917,5.72,38.98,1113.213,2564.0,3.8,196.6,9.94,0.35,1.87,0.96,0.024,IoT Sensor,Agency_9,0,High,
Khowai Village,Tripura,2023-12-25,WS_97518,Well,28.468278,95.026876,5.3,108.047,2454.357,4188.0,1.9,123.7,11.39,1.22,0.45,1.2,0.025,Lab Analysis,Agency_6,0,High,126.0
Lunglei Village,Mizoram,2023-10-06,WS_62402,Well,27.313009,89.939083,8.34,4.695,17.662,2.0,8.4,6.6,0.13,0.024,1.55,0.44,0.013,IoT Sensor,Agency_8,1,Safe,160.0
Naharlagun Village,Arunachal Pradesh,2023-11-01,WS_59593,Piped Supply,26.352737,89.219792,6.43,4.201,12.847,18.0,7.9,37.2,2.76,0.034,0.55,0.73,0.023,IoT Sensor,Agency_4,1,Safe,
Namchi Village,Sikkim,2023-08-29,WS_91987,Tube Well,27.661603,95.803059,6.53,80.785,378.441,1172.0,3.8,126.1,14.07,0.21,1.01,0.49,0.031,IoT Sensor,Agency_9,0,High,75.0
Senapati Rural,Manipur,2023-05-18,WS_98493,Piped Supply,24.163846,91.614415,7.27,2.003,53.089,64.0,8.2,10.1,1.77,0.003,0.29,0.2,0.036,Water Testing Kit,Agency_4,1,Safe,
Pakyong Village,Sikkim,2023-10-02,WS_26167,Piped Supply,27.206015,94.637633,6.72,4.476,48.229,53.0,6.3,1.2,1.96,0.043,1.33,0.88,0.035,Water Testing Kit,Agency_5,1,Safe,
Resubelpara Rural,Meghalaya,2023-11-26,WS_19162,Tube Well,24.888133,95.116752,7.48,7.191,27.75,80.0,7.4,38.1,1.19,0.049,1.41,0.03,0.024,IoT Sensor,Agency_3,0,Safe,157.0
Senapati Rural,Manipur,2023-04-04,WS_87658,River,28.316286,90.86179,6.78,6.016,48.84,37.0,7.8,37.7,0.03,0.037,1.69,0.51,0.045,Water Testing Kit,Agency_8,0,Safe,
Silchar Village,Assam,2023-10-22,WS_43724,Piped Supply,26.14807,95.264355,6.42,82.143,2474.464,2225.0,1.3,100.2,13.38,1.56,1.59,1.03,0.048,IoT Sensor,Agency_7,0,High,
Kolasib Rural,Mizoram,2023-08-27,WS_61786,Pond,25.775231,92.917029,5.81,20.432,387.405,1030.0,3.1,148.2,17.43,0.88,0.76,0.19,0.017,Lab Analysis,Agency_3,0,High,
Roing Village,Arunachal Pradesh,2023-12-09,WS_13806,River,24.909177,92.42813,5.41,78.894,308.785,2951.0,2.0,135.9,13.9,0.45,0.39,0.66,0.044,IoT Sensor,Agency_2,0,High,
Lawngtlai Village,Mizoram,2023-05-29,WS_85634,Well,27.699847,93.738235,6.45,5.51,6.59,81.0,8.2,31.6,2.27,0.03,0.37,0.6,0.026,Water Testing Kit,Agency_6,0,Safe,176.0
Tura Village,Meghalaya,2023-11-06,WS_69161,Well,23.635899,94.834171,5.3,84.244,1841.207,4947.0,3.2,83.4,11.91,0.42,1.8,0.48,0.02,Lab Analysis,Agency_3,0,High,195.0
Agartala Rural,Tripura,2023-10-14,WS_94292,Well,26.542824,94.635281,8.6,8.135,34.946,9.0,6.2,39.9,0.46,0.033,0.12,1.2,0.023,Water Testing Kit,Agency_1,0,Safe,32.0
Kailashahar Village,Tripura,2023-12-23,WS_74759,Well,27.292454,94.911795,7.16,6.197,14.749,16.0,5.6,14.0,2.59,0.02,1.01,0.4,0.009,Lab Analysis,Agency_2,0,Safe,164.0
Tawang Rural,Arunachal Pradesh,2023-08-27,WS_13102,Tube Well,24.211895,94.430479,8.57,8.52,22.014,52.0,5.1,1.9,2.64,0.003,1.27,1.34,0.03,Water Testing Kit,Agency_9,0,Safe,126.0
Dibrugarh Rural,Assam,2023-10-29,WS_76305,River,27.640045,88.983934,6.42,87.908,2189.376,2974.0,3.2,184.3,5.82,1.84,1.91,1.39,0.033,IoT Sensor,Agency_5,0,High,
Tezpur Rural,Assam,2023-06-06,WS_77197,Pond,24.668277,95.955351,6.05,19.894,258.421,1616.0,2.7,198.8,6.81,1.0,1.25,0.13,0.013,Water Testing Kit,Agency_9,0,High,
Jorethang Rural,Sikkim,2023-12-05,WS_23768,Pond,27.127688,89.56697,6.61,1.195,64.637,55.0,7.7,37.2,1.02,0.038,1.74,1.29,0.011,Water Testing Kit,Agency_6,1,Safe,
Lunglei Village,Mizoram,2024-02-28,WS_12734,River,27.945218,90.393762,7.34,0.818,50.441,92.0,6.5,20.6,2.85,0.037,0.73,0.84,0.049,Water Testing Kit,Agency_2,1,Safe,
Pasighat Rural,Arunachal Pradesh,2023-12-31,WS_14929,Piped Supply,23.523298,92.229141,7.59,3.079,37.813,66.0,7.3,35.4,0.16,0.032,0.51,1.16,0.025,Water Testing Kit,Agency_9,1,Safe,
Wokha Rural,Nagaland,2023-04-26,WS_47389,Piped Supply,25.619401,91.94298,7.55,0.957,33.73,75.0,7.3,39.5,0.86,0.025,1.99,1.46,0.004,IoT Sensor,Agency_1,1,Safe,
Resubelpara Rural,Meghalaya,2023-08-24,WS_10914,Tube Well,25.571227,96.667699,6.84,4.496,59.92,82.0,8.6,38.2,0.99,0.03,1.56,0.62,0.045,Water Testing Kit,Agency_7,1,Safe,149.0
Mangan Village,Sikkim,2023-06-12,WS_34660,Well,27.956986,94.886169,8.05,1.738,40.158,55.0,8.5,34.2,0.65,0.041,0.35,0.83,0.036,Lab Analysis,Agency_2,1,Safe,140.0
Wokha Rural,Nagaland,2024-01-30,WS_52361,Well,24.805031,92.475428,6.06,98.826,1417.08,1146.0,3.5,83.0,22.22,0.91,0.29,0.14,0.038,IoT Sensor,Agency_8,0,High,112.0
Champhai Rural,Mizoram,2023-09-03,WS_32433,Piped Supply,25.476157,88.348691,6.81,5.708,25.5,58.0,7.5,23.3,1.17,0.044,1.3,1.18,0.047,Lab Analysis,Agency_2,0,Safe,
Belonia Rural,Tripura,2023-12-19,WS_81281,Piped Supply,25.297418,90.948191,5.38,72.965,1674.051,4820.0,1.0,128.5,22.48,0.49,0.78,0.73,0.01,Lab Analysis,Agency_8,0,High,
Phek Rural,Nagaland,2023-06-15,WS_52861,Piped Supply,23.734852,91.181721,7.74,7.908,21.406,37.0,8.8,12.0,1.26,0.033,0.25,0.98,0.036,IoT Sensor,Agency_4,0,Safe,
Thoubal Village,Manipur,2023-08-24,WS_67663,Piped Supply,23.287472,89.404303,5.3,26.292,2483.232,2227.0,1.4,103.7,24.6,0.37,1.14,1.5,0.043,IoT Sensor,Agency_7,0,High,
Imphal Rural,Manipur,2024-01-25,WS_52642,River,24.829122,94.406989,6.81,4.543,53.707,85.0,7.1,6.0,0.47,0.024,0.29,1.04,0.005,Water Testing Kit,Agency_1,1,Safe,
Jiribam Village,Manipur,2023-10-22,WS_21276,Piped Supply,28.005292,89.853436,8.27,2.403,51.942,63.0,5.5,25.5,2.69,0.014,1.22,0.79,0.027,Water Testing Kit,Agency_7,1,Safe,
Aizawl Rural,Mizoram,2023-12-05,WS_73718,Tube Well,23.686143,90.025354,8.15,8.113,46.32,13.0,6.3,33.9,2.6,0.011,0.47,0.57,0.028,Water Testing Kit,Agency_4,0,Safe,56.0
Rangpo Rural,Sikkim,2023-09-04,WS_13653,Tube Well,26.228136,95.175971,7.32,5.359,38.519,38.0,5.7,44.7,2.25,0.008,1.84,0.2,0.042,IoT Sensor,Agency_1,1,Safe,167.0
Bishnupur Rural,Manipur,2023-03-14,WS_94291,Pond,24.574475,88.565882,5.3,43.623,970.385,2920.0,3.3,93.4,8.36,0.95,1.13,0.19,0.026,Water Testing Kit,Agency_2,0,High,
Resubelpara Rural,Meghalaya,2024-01-29,WS_54207,Pond,26.636767,96.100656,7.06,0.798,29.648,88.0,7.8,17.4,0.63,0.028,1.3,1.37,0.031,Lab Analysis,Agency_4,1,Safe,
Nongpoh Village,Meghalaya,2023-12-17,WS_82381,Well,25.449308,95.263434,7.63,3.874,4.452,80.0,7.6,30.8,0.74,0.007,0.93,0.37,0.037,Water Testing Kit,Agency_5,1,Safe,152.0
Resubelpara Rural,Meghalaya,2023-12-04,WS_32442,Well,27.445771,94.365352,6.86,1.904,50.438,10.0,7.0,24.1,2.87,0.043,1.89,0.98,0.032,Water Testing Kit,Agency_3,1,Safe,27.0
Belonia Rural,Tripura,2023-07-13,WS_58934,Well,27.150493,93.252839,6.09,67.742,162.254,687.0,1.9,113.6,23.77,1.13,1.73,1.5,0.019,Lab Analysis,Agency_2,0,High,109.0
Rangpo Rural,Sikkim,2023-05-13,WS_76733,Pond,23.024182,93.655732,7.87,0.95,56.04,53.0,6.7,8.6,2.85,0.022,1.76,0.16,0.046,IoT Sensor,Agency_5,1,Safe,
Namchi Village,Sikkim,2023-12-07,WS_40223,Pond,26.272118,90.480718,5.3,16.458,1694.522,3106.0,2.2,195.1,18.86,0.56,0.5,0.45,0.048,IoT Sensor,Agency_4,0,High,
Jorethang Rural,Sikkim,2023-08-09,WS_92998,Tube Well,24.548385,90.980329,6.55,9.092,59.957,66.0,6.1,40.2,1.04,0.029,0.82,1.28,0.016,Water Testing Kit,Agency_7,0,Safe,147.0
Williamnagar Village,Meghalaya,2023-08-08,WS_33183,River,24.410342,88.330552,6.45,101.061,1964.813,2911.0,2.9,154.8,16.05,1.71,1.97,0.08,0.024,IoT Sensor,Agency_3,0,High,
Tawang Rural,Arunachal Pradesh,2023-05-14,WS_41117,Well,23.142585,89.866104,6.77,8.958,2.252,24.0,5.3,38.6,1.25,0.04,1.4,0.88,0.035,Water Testing Kit,Agency_8,0,Safe,118.0
Khliehriat Village,Meghalaya,2023-04-16,WS_65963,River,27.934475,94.892692,7.72,3.386,33.144,88.0,6.4,2.0,0.77,0.023,0.99,1.01,0.006,Water Testing Kit,Agency_6,1,Safe,
Resubelpara Rural,Meghalaya,2023-09-25,WS_27968,Well,23.18164,96.284242,7.14,3.08,8.44,91.0,5.3,1.7,2.17,0.035,0.32,0.11,0.024,IoT Sensor,Agency_7,1,Safe,133.0
Barpeta Village,Assam,2023-02-03,WS_69104,Tube Well,24.704194,95.13075,6.88,5.634,69.413,41.0,7.1,20.3,1.37,0.011,1.59,0.52,0.028,Water Testing Kit,Agency_4,0,Safe,74.0
Tuensang Village,Nagaland,2023-12-16,WS_67120,Pond,28.306501,89.088004,7.24,0.985,16.969,44.0,8.6,1.3,2.39,0.014,1.43,1.02,0.003,Water Testing Kit,Agency_1,1,Safe,
Silchar Village,Assam,2023-12-18,WS_35058,Well,24.892901,89.837471,7.42,1.526,9.09,13.0,6.0,28.9,0.62,0.033,1.29,0.88,0.045,Lab Analysis,Agency_6,1,Safe,128.0
Saitual Rural,Mizoram,2024-01-08,WS_95041,Pond,27.178834,88.307525,5.3,114.366,800.675,989.0,3.9,143.8,10.73,1.35,1.33,0.47,0.007,Water Testing Kit,Agency_6,0,High,
Jorethang Rural,Sikkim,2023-08-24,WS_98988,Well,27.360846,95.323481,8.02,3.062,52.63,37.0,8.2,38.1,2.03,0.049,1.74,0.67,0.036,Water Testing Kit,Agency_1,1,Safe,32.0
Tawang Rural,Arunachal Pradesh,2023-04-08,WS_62689,Well,26.915222,88.03775,8.53,5.605,64.636,98.0,6.4,25.9,2.54,0.014,0.9,1.39,0.045,Water Testing Kit,Agency_7,0,Safe,98.0
Teliamura Rural,Tripura,2023-07-11,WS_59377,Well,25.60413,93.123926,8.06,6.682,59.975,75.0,5.6,11.3,1.39,0.02,0.32,0.48,0.035,Water Testing Kit,Agency_3,0,Safe,26.0
Agartala Rural,Tripura,2023-09-21,WS_46298,Piped Supply,25.627563,88.90823,7.42,3.321,54.477,51.0,5.6,40.3,0.38,0.049,1.74,1.06,0.047,IoT Sensor,Agency_5,1,Safe,
